asin.relative.humidity,H2O.potential
1.492702636,5.456475683
9.795749354,8.998585471
1.871873119,7.28628172
2.501619981,8.494001518
6.852122175,10.97998322
6.887344118,10.6603371
1.27108593,5.621262307
3.230775328,9.403331904
7.823982049,10.35080449
0.147323362,0.897672308
8.129159106,9.791235935
8.21343533,10.08131028
0.546402041,2.96300712
2.731587902,9.058430186
6.339558178,11.31596805
4.838507233,10.36660111
5.596122309,10.90589732
6.766225034,11.35029271
8.211160763,10.56749365
6.995163914,11.25986827
9.924747519,9.734157229
7.453886563,10.48326482
1.902451565,6.799129953
9.952126481,9.761166469
5.053627027,10.56395888
8.534715175,9.573471329
5.554384002,11.37396808
5.09237619,10.43069425
9.116391273,9.656532512
4.503390925,10.58682462
4.626766578,10.24715273
7.663231784,10.42498509
7.572586096,10.64370882
1.764349665,6.981584424
1.006834272,4.470262737
9.232042397,9.830774688
3.935674088,10.19340939
